rf,std_rf,cp,std_cp,n_quartets,std_quartets,r_d,r_l,coal_unit,model
0,0,0.999938089,2.77E-06,1820,0,0,0.4,1,MLMSC-II
0,0,0.999938089,2.77E-06,1820,0,0,0.5,1,MLMSC-II
0,0,0.999938089,2.77E-06,1820,0,0,0.7,1,MLMSC-II
0,0,0.999938089,2.77E-06,1820,0,0,0.9,1,MLMSC-II
0,0,0.999938089,2.77E-06,1820,0,0,1,1,MLMSC-II
0,0,0.999938089,2.77E-06,1820,0,0,1.1,1,MLMSC-II
0,0,0.999938089,2.77E-06,1820,0,0,1.3,1,MLMSC-II
0,0,0.999938089,2.77E-06,1820,0,0,1.5,1,MLMSC-II
0,0,0.999938089,2.77E-06,1820,0,0,2,1,MLMSC-II
0.642271546,0.015030495,0.904163925,0.000167039,1820,0,0,0.4,18,MLMSC-II
0.642271546,0.015030495,0.904163925,0.000167039,1820,0,0,0.5,18,MLMSC-II
0.642271546,0.015030495,0.904163925,0.000167039,1820,0,0,0.7,18,MLMSC-II
0.642271546,0.015030495,0.904163925,0.000167039,1820,0,0,0.9,18,MLMSC-II
0.642271546,0.015030495,0.904163925,0.000167039,1820,0,0,1,18,MLMSC-II
0.642271546,0.015030495,0.904163925,0.000167039,1820,0,0,1.1,18,MLMSC-II
0.642271546,0.015030495,0.904163925,0.000167039,1820,0,0,1.3,18,MLMSC-II
0.642271546,0.015030495,0.904163925,0.000167039,1820,0,0,1.5,18,MLMSC-II
0.642271546,0.015030495,0.904163925,0.000167039,1820,0,0,2,18,MLMSC-II
0.053989202,0.004583963,0.95907652,0.000106708,1820,0,0,0.4,9,MLMSC-II
0.053989202,0.004583963,0.95907652,0.000106708,1820,0,0,0.5,9,MLMSC-II
0.053989202,0.004583963,0.95907652,0.000106708,1820,0,0,0.7,9,MLMSC-II
0.053989202,0.004583963,0.95907652,0.000106708,1820,0,0,0.9,9,MLMSC-II
0.053989202,0.004583963,0.95907652,0.000106708,1820,0,0,1,9,MLMSC-II
0.053989202,0.004583963,0.95907652,0.000106708,1820,0,0,1.1,9,MLMSC-II
0.053989202,0.004583963,0.95907652,0.000106708,1820,0,0,1.3,9,MLMSC-II
0.053989202,0.004583963,0.95907652,0.000106708,1820,0,0,1.5,9,MLMSC-II
0.053989202,0.004583963,0.95907652,0.000106708,1820,0,0,2,9,MLMSC-II
0,0,0.999896521,5.06E-06,1578.787003,1.787170246,1,0.4,1,MLMSC-II
0.74865027,0.016301809,0.902509978,0.000179506,1509.104159,1.73124649,1,0.4,18,MLMSC-II
0.059188162,0.004793184,0.957321713,0.000114366,1547.372326,1.76030753,1,0.4,9,MLMSC-II
0,0,0.999884074,5.40E-06,1504.55041,1.900000491,1,0.5,1,MLMSC-II
0.75904819,0.016518219,0.902138253,0.000185983,1428.732883,1.799251116,1,0.5,18,MLMSC-II
0.058388322,0.004795146,0.956935956,0.000116961,1471.914197,1.855379352,1,0.5,9,MLMSC-II
0,0,0.999849414,7.40E-06,1368.636503,2.005483825,1,0.7,1,MLMSC-II
0.855428914,0.017397657,0.902680569,0.000188203,1287.134213,1.975701872,1,0.7,18,MLMSC-II
0.065186963,0.005022441,0.957334812,0.00011875,1333.052589,2.01783992,1,0.7,9,MLMSC-II
0,0,0.999796049,9.57E-06,1244.553149,2.110534727,1,0.9,1,MLMSC-II
0.961807638,0.018564463,0.903320793,0.000195934,1162.427335,2.030489131,1,0.9,18,MLMSC-II
0.097180564,0.006185722,0.956845224,0.000125206,1200.004689,2.051253884,1,0.9,9,MLMSC-II
0,0,0.999774365,1.07E-05,1190.180154,2.120251954,1,1,1,MLMSC-II
1.032993401,0.018763577,0.902975191,0.000199545,1104.273685,2.004532511,1,1,18,MLMSC-II
0.102779444,0.006371714,0.956955588,0.00012538,1154.582054,2.060592228,1,1,9,MLMSC-II
0,0,0.999771558,1.05E-05,1136.458348,2.126586058,1,1.1,1,MLMSC-II
1.048990202,0.019069535,0.902984102,0.000200025,1045.587183,2.007845913,1,1.1,18,MLMSC-II
0.113977205,0.006605497,0.957317561,0.000126736,1100.111068,2.091552864,1,1.1,9,MLMSC-II
0,0,0.99968321,1.47E-05,1039.942901,2.15761869,1,1.3,1,MLMSC-II
1.147370526,0.020082203,0.9027519,0.000209646,945.4195261,1.981833361,1,1.3,18,MLMSC-II
0.126374725,0.007042395,0.956969032,0.000134106,996.6092482,2.093604077,1,1.3,9,MLMSC-II
0,0,0.999601124,1.75E-05,949.6578184,2.106477479,1,1.5,1,MLMSC-II
1.291341732,0.021412354,0.902850875,0.000218825,856.1656569,1.966016514,1,1.5,18,MLMSC-II
0.165166967,0.008067829,0.956407477,0.000136357,902.6510298,2.03568752,1,1.5,9,MLMSC-II
0,0,0.999330079,2.60E-05,761.2246651,1.960741012,1,2,1,MLMSC-II
1.574885023,0.023570683,0.902865891,0.000233348,669.5623775,1.79573906,1,2,18,MLMSC-II
0.218756249,0.009095641,0.955912825,0.000149336,718.9078084,1.871072428,1,2,9,MLMSC-II
0,0,0.999758559,1.00E-05,1404.868946,2.189330097,2,0.4,1,MLMSC-II
0.767846431,0.016562727,0.90195963,0.000189233,1284.211088,2.078744533,2,0.4,18,MLMSC-II
0.059588082,0.004874931,0.955981794,0.000120912,1350.060968,2.132391647,2,0.4,9,MLMSC-II
0,0,0.99965775,1.40E-05,1280.928764,2.225121429,2,0.5,1,MLMSC-II
0.896220756,0.017872371,0.902554619,0.000195656,1166.130634,2.101449304,2,0.5,18,MLMSC-II
0.077584483,0.005490889,0.956261588,0.000125193,1230.378854,2.190777633,2,0.5,9,MLMSC-II
0,0,0.999470482,2.01E-05,1081.019716,2.221479533,2,0.7,1,MLMSC-II
1.073385323,0.019714081,0.902319786,0.000207491,964.9561688,2.046976602,2,0.7,18,MLMSC-II
0.096780644,0.006174035,0.955506377,0.000136113,1026.641852,2.181031858,2,0.7,9,MLMSC-II
0,0,0.999087504,2.92E-05,904.6366727,2.185748441,2,0.9,1,MLMSC-II
1.300139972,0.021417933,0.90180969,0.000219762,799.8584683,1.974716397,2,0.9,18,MLMSC-II
0.136372725,0.007328643,0.955003387,0.000144476,856.1378324,2.083773264,2,0.9,9,MLMSC-II
0,0,0.998894258,3.33E-05,836.5759548,2.119723207,2,1,1,MLMSC-II
1.438512298,0.022709262,0.901813944,0.000228213,735.0413117,1.946715327,2,1,18,MLMSC-II
0.172365527,0.008369159,0.954783651,0.000147633,790.5970406,2.001934044,2,1,9,MLMSC-II
0,0,0.998621199,3.97E-05,771.5277644,2.071822333,2,1.1,1,MLMSC-II
1.544491102,0.023154844,0.901514861,0.000235996,668.1006599,1.865784034,2,1.1,18,MLMSC-II
0.207158568,0.008964334,0.954374269,0.000154421,724.65018,1.968706265,2,1.1,9,MLMSC-II
0,0,0.99808219,5.06E-05,654.8939112,1.898533173,2,1.3,1,MLMSC-II
1.781243751,0.02489143,0.900609267,0.000251548,557.810108,1.712200314,2,1.3,18,MLMSC-II
0.272745451,0.010267323,0.95304331,0.000164301,607.3875325,1.821021421,2,1.3,9,MLMSC-II
0,0,0.9974397,6.39E-05,556.8079884,1.818987708,2,1.5,1,MLMSC-II
2.121975605,0.027368485,0.900105578,0.000264896,466.2682364,1.552439672,2,1.5,18,MLMSC-II
0.355128974,0.011812863,0.952538731,0.00017935,513.4881624,1.681997708,2,1.5,9,MLMSC-II
0.00719856,0.001956749,0.995470393,9.95E-05,378.8636773,1.466283398,2,2,1,MLMSC-II
3.092981404,0.033125384,0.897212455,0.000306785,303.1517397,1.211432705,2,2,18,MLMSC-II
0.713457309,0.016681718,0.948970773,0.000216296,341.4103579,1.326063591,2,2,9,MLMSC-II
0,0,0.999531208,1.65E-05,1271.021106,2.469449033,3,0.4,1,MLMSC-II
0.831433713,0.017261991,0.902854841,0.000195095,1122.521276,2.19773295,3,0.4,18,MLMSC-II
0.058788242,0.004942041,0.954744965,0.000126718,1206.903399,2.292411778,3,0.4,9,MLMSC-II
0,0,0.999289281,2.24E-05,1128.026805,2.400814458,3,0.5,1,MLMSC-II
0.99020196,0.018947005,0.902543914,0.000206104,980.9631674,2.138644902,3,0.5,18,MLMSC-II
0.086382723,0.005777597,0.954626793,0.000131603,1061.997141,2.279043661,3,0.5,9,MLMSC-II
0,0,0.998587471,3.64E-05,891.219796,2.241697458,3,0.7,1,MLMSC-II
1.25254949,0.020930207,0.902318836,0.000225628,755.6672266,2.000397617,3,0.7,18,MLMSC-II
0.149970006,0.0075769,0.953583103,0.000150179,821.4545191,2.104585294,3,0.7,9,MLMSC-II
0,0,0.997708487,5.23E-05,703.4883323,2.06912785,3,0.9,1,MLMSC-II
1.650869826,0.024139184,0.90091652,0.000249728,585.0868726,1.770665595,3,0.9,18,MLMSC-II
0.24595081,0.009953864,0.952015425,0.000165877,644.5386123,1.929331991,3,0.9,9,MLMSC-II
0.00039992,0.00039992,0.997125904,6.39E-05,626.4665367,1.988981077,3,1,1,MLMSC-II
1.943211358,0.02681811,0.900277115,0.000258591,518.9627874,1.689612991,3,1,18,MLMSC-II
0.276744651,0.010323667,0.951019021,0.00017471,575.5008298,1.79444797,3,1,9,MLMSC-II
0.00079984,0.000565516,0.996149605,7.72E-05,558.7080584,1.816550801,3,1.1,1,MLMSC-II
2.097580484,0.027704543,0.899532176,0.000267557,462.4995401,1.585009776,3,1.1,18,MLMSC-II
0.366326735,0.012198599,0.95040434,0.000187224,509.8904519,1.718204395,3,1.1,9,MLMSC-II
0.0059988,0.001646894,0.994623789,0.000101448,448.3588782,1.673216922,3,1.3,1,MLMSC-II
2.641871626,0.031365378,0.896915556,0.000295549,361.6186163,1.404598602,3,1.3,18,MLMSC-II
0.537492501,0.014491612,0.947928425,0.00020049,408.1015197,1.528060041,3,1.3,9,MLMSC-II
0.023995201,0.00373658,0.992785631,0.000124306,368.3776345,1.475386022,3,1.5,1,MLMSC-II
3.218156369,0.033684013,0.894663195,0.000319581,285.6822136,1.192885786,3,1.5,18,MLMSC-II
0.809438112,0.018720729,0.945563257,0.000231212,324.2136373,1.31857165,3,1.5,9,MLMSC-II
0.217956409,0.011862081,0.987261155,0.000199041,223.3016197,1.087317949,3,2,1,MLMSC-II
4.678664267,0.042155772,0.888947952,0.000395346,166.4029294,0.846908617,3,2,18,MLMSC-II
1.697660468,0.027419047,0.937190609,0.000308458,191.6673265,0.942316844,3,2,9,MLMSC-II
0,0,0.999080688,2.49E-05,1179.503479,2.579966884,4,0.4,1,MLMSC-II
0.855028994,0.017616293,0.903218619,0.000203482,1001.266937,2.2029194,4,0.4,18,MLMSC-II
0.057588482,0.00479708,0.954046836,0.000133145,1103.117017,2.395320244,4,0.4,9,MLMSC-II
0,0,0.998538917,3.58E-05,1012.262847,2.485540709,4,0.5,1,MLMSC-II
1.044191162,0.019731485,0.903267828,0.000216341,851.9268546,2.114764394,4,0.5,18,MLMSC-II
0.081983603,0.00572092,0.953545108,0.000141159,935.3966507,2.286045321,4,0.5,9,MLMSC-II
0,0,0.997191851,5.71E-05,747.7994201,2.186328554,4,0.7,1,MLMSC-II
1.475304939,0.023580009,0.901693437,0.000238699,621.1722955,1.868119265,4,0.7,18,MLMSC-II
0.191161768,0.00869223,0.951022554,0.000161257,687.1072985,2.055005084,4,0.7,9,MLMSC-II
0.00079984,0.000565516,0.995190547,8.53E-05,566.9136273,1.935805089,4,0.9,1,MLMSC-II
2.086382723,0.027421833,0.899656973,0.000273906,454.9365527,1.598637047,4,0.9,18,MLMSC-II
0.345930814,0.011697616,0.94835814,0.000190382,505.3683463,1.740937576,4,0.9,9,MLMSC-II
0.00319936,0.001263975,0.99393535,0.000104334,492.129914,1.76994723,4,1,1,MLMSC-II
2.443511298,0.030098347,0.896999468,0.000289879,390.6445811,1.463283645,4,1,18,MLMSC-II
0.466306739,0.013646452,0.946593185,0.000203112,440.2558688,1.613007204,4,1,9,MLMSC-II
0.0119976,0.00282305,0.992369099,0.000119877,429.1066287,1.619658522,4,1.1,1,MLMSC-II
2.690261948,0.030945389,0.896678831,0.000296148,337.4719456,1.320128549,4,1.1,18,MLMSC-II
0.617076585,0.016042961,0.94555654,0.000217482,383.1474905,1.491927184,4,1.1,9,MLMSC-II
0.051189762,0.005581181,0.989524557,0.000159992,328.9411018,1.394447843,4,1.3,1,MLMSC-II
3.524095181,0.036488184,0.892114408,0.000340993,254.4278144,1.133034355,4,1.3,18,MLMSC-II
1.00619876,0.02071392,0.940802706,0.000256719,288.0412418,1.251853741,4,1.3,9,MLMSC-II
0.157168566,0.009699474,0.986359284,0.000191649,257.3896121,1.207409971,4,1.5,1,MLMSC-II
4.372725455,0.039739826,0.886764678,0.000379319,191.6563787,0.926742964,4,1.5,18,MLMSC-II
1.467306539,0.025438293,0.936419957,0.000293921,224.4028194,1.059640331,4,1.5,9,MLMSC-II
0.961407718,0.025423076,0.975766814,0.000311832,143.7037293,0.81050065,4,2,1,MLMSC-II
6.555888822,0.049600939,0.875013688,0.000492641,102.1025895,0.593688843,4,2,18,MLMSC-II
3.129766804,0.045279205,0.923291503,0.000468087,120.1575309,0.80372573,4,2,9,MLMSC-II
2.190361928,0.038251515,0.965250057,0.000386751,99.21472705,0.628454726,5,2,1,MLMSC-II
8.244021078,0.080100533,0.860176851,0.000847318,66.86753141,0.628001183,5,2,18,MLMSC-II
4.737848606,0.066557268,0.908306899,0.0006745,82.73739044,0.733698891,5,2,9,MLMSC-II
0,0,0.998565456,3.33E-05,1113.289012,2.667570215,5,0.4,1,MLMSC-II
0.900219956,0.018108087,0.904116827,0.000205413,914.5220756,2.2035247,5,0.4,18,MLMSC-II
0.067586483,0.005203923,0.952992774,0.00013828,1016.79834,2.443843505,5,0.4,9,MLMSC-II
0,0,0.997717823,4.66E-05,926.9838932,2.506745134,5,0.5,1,MLMSC-II
1.139772046,0.020338369,0.902724659,0.000222867,752.8716657,2.058160578,5,0.5,18,MLMSC-II
0.099180164,0.006243754,0.951961715,0.000149014,847.339792,2.256723688,5,0.5,9,MLMSC-II
0,0,0.9954048,7.69E-05,663.1972505,2.124836306,5,0.7,1,MLMSC-II
1.718456309,0.025139949,0.900242499,0.000251841,522.7107379,1.735864284,5,0.7,18,MLMSC-II
0.24835033,0.010117385,0.948590157,0.000179026,589.6905519,1.909946659,5,0.7,9,MLMSC-II
0.00759848,0.002151168,0.991844808,0.000121327,474.4265547,1.748203121,5,0.9,1,MLMSC-II
2.515096981,0.030366099,0.89655795,0.000291684,364.2130674,1.425910805,5,0.9,18,MLMSC-II
0.48910218,0.014420286,0.944237,0.000220009,418.8021796,1.589256476,5,0.9,9,MLMSC-II
0.023995201,0.003693521,0.99031003,0.000137364,405.565007,1.618342263,5,1,1,MLMSC-II
2.940611878,0.033419621,0.894417781,0.000317741,309.8181464,1.286809396,5,1,18,MLMSC-II
0.697060588,0.0173396,0.941964091,0.0002379,357.9708458,1.431398998,5,1,9,MLMSC-II
0.047190562,0.005014927,0.987540176,0.000163918,350.5916417,1.491692857,5,1.1,1,MLMSC-II
3.524495101,0.036416819,0.892106228,0.0003376,257.4653669,1.138155106,5,1.1,18,MLMSC-II
0.984603079,0.020820804,0.93905861,0.000262188,298.7014997,1.331033905,5,1.1,9,MLMSC-II
0.202759448,0.011295599,0.98305148,0.00020917,257.5493901,1.219852513,5,1.3,1,MLMSC-II
4.462307538,0.040746457,0.886150071,0.000384035,186.0964007,0.928568085,5,1.3,18,MLMSC-II
1.628874225,0.0275241,0.932005687,0.000310378,221.5612378,1.068295506,5,1.3,9,MLMSC-II
0.565086983,0.019706976,0.977911358,0.000265009,191.6410118,0.996857577,5,1.5,1,MLMSC-II
5.48890222,0.045213897,0.879853105,0.000440775,137.4221956,0.741374361,5,1.5,18,MLMSC-II
2.351129774,0.03404093,0.926691884,0.000365761,160.7190562,0.855213253,5,1.5,9,MLMSC-II
3.565656566,0.135758384,0.956309282,0.001226253,71.92457912,1.422282274,6,2,1,MLMSC-II
9.788235294,0.172552522,0.844546307,0.002014368,47.25009804,0.958575421,6,2,18,MLMSC-II
6.328621908,0.092180063,0.892732744,0.000953203,58.11024735,0.715079113,6,2,9,MLMSC-II
0,0,0.997913948,4.23E-05,1059.704869,2.763375309,6,0.4,1,MLMSC-II
0.851029794,0.017844243,0.904607065,0.000212168,843.3155469,2.17567379,6,0.4,18,MLMSC-II
0.057588482,0.00479708,0.952092328,0.000140118,955.9774145,2.433966786,6,0.4,9,MLMSC-II
0,0,0.996682995,5.92E-05,860.4885323,2.488930683,6,0.5,1,MLMSC-II
1.152169566,0.021183914,0.903441388,0.000230633,674.5159368,2.018010731,6,0.5,18,MLMSC-II
0.113177365,0.006751929,0.950155194,0.000153802,776.9412917,2.270288683,6,0.5,9,MLMSC-II
0.00039992,0.00039992,0.993157429,9.83E-05,588.4606179,2.043343576,6,0.7,1,MLMSC-II
2.01159768,0.02785638,0.899165787,0.000267914,448.1191762,1.629219615,6,0.7,18,MLMSC-II
0.323935213,0.011748251,0.945984177,0.000194431,513.3305039,1.842161317,6,0.7,9,MLMSC-II
0.033593281,0.004605433,0.988388469,0.000150398,406.6691862,1.614561759,6,0.9,1,MLMSC-II
2.994987469,0.048453678,0.893458224,0.000455367,300.7463868,1.902403339,6,0.9,18,MLMSC-II
0.724255149,0.017793442,0.939860858,0.000243438,350.2584283,1.465306833,6,0.9,9,MLMSC-II
0.074785043,0.006644726,0.985653563,0.000173034,342.8930014,1.501096726,6,1,1,MLMSC-II
3.527694461,0.03663534,0.890731349,0.000349991,252.7216957,1.152996188,6,1,18,MLMSC-II
1.060587882,0.021883553,0.936237724,0.000273299,290.7152569,1.32804195,6,1,9,MLMSC-II
0.179964007,0.010471837,0.982892074,0.000202879,286.0539892,1.340343604,6,1.1,1,MLMSC-II
4.227954409,0.039470669,0.886782048,0.000381342,208.6616677,1.019308248,6,1.1,18,MLMSC-II
1.422115577,0.025300366,0.931754618,0.000299129,246.0846631,1.146010615,6,1.1,9,MLMSC-II
0.536692661,0.018988116,0.975956571,0.000265282,205.9153269,1.055453131,6,1.3,1,MLMSC-II
5.457308538,0.045336457,0.878728068,0.000437148,146.8320036,0.809026052,6,1.3,18,MLMSC-II
2.299717248,0.068236667,0.923638515,0.00077703,176.2945806,1.948847959,6,1.3,9,MLMSC-II
